iter	MAE
0	0.8748666674
1	0.8595726994
2	0.8450929778
3	0.8358943474
4	0.8267543107
5	0.8202611788
6	0.8161377793
7	0.8116579081
8	0.8084655813
9	0.8058534134
10	0.8021491929
11	0.7987085108
12	0.7960574773
13	0.7937281096
14	0.7906806491
15	0.7890267757
16	0.7875950204
17	0.7859173708
18	0.7834146556
19	0.7817573783
20	0.7804652621
21	0.7790790949
22	0.7778514138
23	0.7771151569
24	0.7762667671
25	0.7756668156
26	0.7750723002
27	0.7734701726
28	0.7730945617
29	0.7725517918
30	0.772116367
31	0.7708963176
32	0.7701118594
33	0.7691248257
34	0.7683067923
35	0.7676015318
36	0.766416288
37	0.7658561409
38	0.7652768867
39	0.7648816201
40	0.7645922894
41	0.7638418498
42	0.7634013706
43	0.7624442808
44	0.7620719824
45	0.7608872571
46	0.7599253633
47	0.7594129318
48	0.7586519134
49	0.7579439809
50	0.757357444
51	0.7570089706
52	0.7563242856
53	0.7555816934
54	0.7550644419
55	0.7546404619
56	0.754020342
57	0.753754129
58	0.7531920395
59	0.7526806908
60	0.7523787788
61	0.7520332856
62	0.7518664274
63	0.7513414017
64	0.750914964
65	0.7504437208
66	0.7500876614
67	0.7498259749
68	0.7486401053
69	0.747698283
70	0.7473259867
71	0.7466832337
72	0.7460939399
73	0.7459143041
74	0.7453723772
75	0.7451754857
76	0.7448973325
77	0.7446620113
78	0.7443638047
79	0.7435252258
80	0.7430622169
81	0.742770791
82	0.741936456
83	0.7417574188
84	0.7413164533
85	0.7409168486
86	0.7406410768
87	0.7402435187
88	0.7396125313
89	0.7391070625
90	0.7388613802
91	0.7383771229
92	0.7380541087
93	0.737653018
94	0.7371835761
95	0.7368560717
96	0.736455513
97	0.7361356165
98	0.7355341542
99	0.7350478772
100	0.734684896
101	0.734195245
102	0.7339776029
103	0.7332326096
104	0.7327764897
105	0.7326252157
106	0.7322136846
107	0.7319249301
108	0.7318731365
109	0.731551114
110	0.7314729057
111	0.7312561035
112	0.7310506041
113	0.7307556339
114	0.7305472819
115	0.7302863853
116	0.7301730944
117	0.7299306456
118	0.7295317057
119	0.7290842942
120	0.7289265747
121	0.7286732529
122	0.7284844883
123	0.7280331212
124	0.7278681672
125	0.7274849014
126	0.7273875384
127	0.7269610487
128	0.7267133114
129	0.7264801822
130	0.7261976751
131	0.7255966252
132	0.725304624
133	0.7250396157
134	0.7249045269
135	0.7247568554
136	0.7245946749
137	0.7243322965
138	0.7241924422
139	0.7236923321
140	0.723407424
141	0.7231507528
142	0.7229427275
143	0.7227727175
144	0.722548578
145	0.7217964801
146	0.7216404005
147	0.7214255011
148	0.7212073858
149	0.7211701556
150	0.7208644264
151	0.7207865063
152	0.720560243
153	0.7203605595
154	0.720180696
155	0.7198869312
156	0.7198190356
157	0.7196473123
158	0.71948605
159	0.7193279435
160	0.7191983551
161	0.7190343221
162	0.7189532615
163	0.7188581085
164	0.7185064528
165	0.7184017312
166	0.7182377681
167	0.7181079037
168	0.7179410461
169	0.7178674028
170	0.7176167904
171	0.7174225001
172	0.7172199642
173	0.716993535
174	0.7168107736
175	0.7166685689
176	0.7164439583
177	0.7163571169
178	0.7161650512
179	0.7158285388
180	0.7155696532
181	0.7153703963
182	0.7152565198
183	0.7150342144
184	0.7149156998
185	0.7148132964
186	0.7147304341
187	0.7145674826
188	0.7142830055
189	0.7141017296
190	0.7139410692
191	0.7134683712
192	0.7132829595
193	0.7129138591
194	0.7126864181
195	0.7122709946
196	0.7121523902
197	0.7119950482
198	0.711822195
199	0.7116775507
200	0.7115997959
201	0.7114818458
202	0.7113798505
203	0.7110124968
204	0.710898814
205	0.7108152902
206	0.7107122806
207	0.7106176422
208	0.7105578957
209	0.7104039963
210	0.7102717278
211	0.710188066
212	0.7100308672
213	0.7098285796
214	0.709735751
215	0.7097040704
216	0.7095946968
217	0.7095182604
218	0.7094535732
219	0.7093654154
220	0.7093221756
221	0.709168396
222	0.7089685992
223	0.708938212
224	0.7087941094
225	0.7087589405
226	0.7085148902
227	0.7084193386
228	0.7082565167
229	0.7081279034
230	0.7079859525
231	0.7078928165
232	0.7078505757
233	0.7078055656
234	0.7072793558
235	0.7069034176
236	0.7068126719
237	0.7067405408
238	0.7066038752
239	0.706555005
240	0.7065346555
241	0.7064109302
242	0.7061700101
243	0.7059386756
244	0.7058534265
245	0.7054384744
246	0.7053427701
247	0.7052467717
248	0.705182696
249	0.7049834511
250	0.704709234
251	0.7046854866
252	0.7044837229
253	0.7044279311
254	0.7043953402
255	0.7043521346
256	0.7041655664
257	0.7038969172
258	0.7038068006
259	0.7036025756
260	0.7034062222
261	0.7033367023
262	0.7032765916
263	0.7030585224
264	0.7029706249
265	0.7029282045
266	0.7028566674
267	0.7025917411
268	0.7023312978
269	0.7022993275
270	0.7022414328
271	0.702129099
272	0.7020562667
273	0.7019337744
274	0.70186997
275	0.701763817
276	0.7016613777
277	0.7015926681
278	0.701494133
279	0.701388529
280	0.7013103742
281	0.7011906642
282	0.7008731355
283	0.7007734261
284	0.7007211122
285	0.7006352178
286	0.7005310273
287	0.7004594735
288	0.7004204214
289	0.7003499365
290	0.7001907399
291	0.7001611307
292	0.6999800548
293	0.6999119761
294	0.6997810948
295	0.6994963381
296	0.6994425394
297	0.6993112931
298	0.6992880582
299	0.699240043
300	0.6991654001
301	0.6990774323
302	0.6989605302
303	0.6988574802
304	0.6987561959
305	0.698637378
306	0.6985593003
307	0.6984365046
308	0.6983972643
309	0.6983204329
310	0.6982616564
311	0.6982439578
312	0.6981785055
313	0.6981532782
314	0.6981174141
315	0.6980419659
316	0.6978320283
317	0.6978134259
318	0.6977521625
319	0.6976738308
320	0.6975710242
321	0.6975173573
322	0.6974366269
323	0.6973955039
324	0.6973732821
325	0.6972906197
326	0.6972393626
327	0.6972153936
328	0.6971025469
329	0.6970016774
330	0.6967277397
331	0.6966777984
332	0.696610147
333	0.6965772344
334	0.6965075838
335	0.6964471252
336	0.6964043536
337	0.6963657112
338	0.6963320482
339	0.6961436429
340	0.6960641328
341	0.6960028531
342	0.6959666429
343	0.6958667147
344	0.6957970779
345	0.6957611277
346	0.695730167
347	0.6956380347
348	0.6955702784
349	0.6953615218
350	0.6953043235
351	0.6951844367
352	0.6951628154
353	0.6950014417
354	0.6949175347
355	0.6948660238
356	0.694740028
357	0.6947074265
358	0.6946199665
359	0.6945448408
360	0.6945204394
361	0.694498283
362	0.6944501118
363	0.6944037828
364	0.6943324823
365	0.6942975324
366	0.6941369724
367	0.6940976686
368	0.6940423447
369	0.6939496577
370	0.6938481493
371	0.6937867551
372	0.6936899143
373	0.6936078732
374	0.6935927794
375	0.693524095
376	0.6934648714
377	0.6934166183
378	0.6933567672
379	0.6931471914
380	0.6930825234
381	0.6930483381
382	0.6930012095
383	0.6929852769
384	0.6929292479
385	0.6928826694
386	0.6928121546
387	0.692696874
388	0.6925563742
389	0.6923283267
390	0.6922963471
391	0.6921813555
392	0.6920492525
393	0.6920269423
394	0.6920075561
395	0.691933394
396	0.6919056873
397	0.6918769587
398	0.6918092779
399	0.6917805428
400	0.6917395507
401	0.6917286835
402	0.6917020504
403	0.6915547499
404	0.6914970505
405	0.6914347521
406	0.6913947722
407	0.6912510549
408	0.6911796531
409	0.6911493056
410	0.6911358013
411	0.6910994127
412	0.6909760882
413	0.6909697642
414	0.6909416637
415	0.6908507739
416	0.690786448
417	0.6907580958
418	0.6907120235
419	0.690672709
420	0.690641868
421	0.6904617757
422	0.6903952253
423	0.6903765988
424	0.6903324695
425	0.6903095245
426	0.6902645471
427	0.690209844
428	0.6901536909
429	0.6901305571
430	0.6900629945
431	0.6899823637
432	0.6899396557
433	0.6898810983
434	0.6897772822
435	0.6897555886
436	0.689605335
437	0.6895909993
438	0.6895738252
439	0.6895083124
440	0.6894276993
441	0.6893497403
442	0.689323931
443	0.689275294
444	0.6892427206
445	0.6891782731
446	0.6890496255
447	0.6889974979
448	0.6889825907
449	0.6889018029
450	0.6888757416
451	0.6888217097
452	0.6887514918
453	0.6887089389
454	0.6886309959
455	0.6885818494
456	0.6885529991
457	0.6885175032
458	0.6885058995
459	0.6884576985
460	0.6883544326
461	0.6883107214
462	0.688261376
463	0.6882445575
464	0.6881532353
465	0.6880595708
466	0.6880498825
467	0.6880435444
468	0.688013763
469	0.6879524974
470	0.687877178
471	0.6878601577
472	0.687801249
473	0.6877594066
474	0.6876912289
475	0.6876655202
476	0.6875895163
477	0.6875398285
478	0.6874965777
479	0.6874579299
480	0.687403059
481	0.687389527
482	0.6873092067
483	0.6872624693
484	0.6872357349
485	0.6871591651
486	0.6870498413
487	0.6870002135
488	0.6869250183
489	0.6868171122
490	0.6867957687
491	0.6866597364
492	0.6865183378
493	0.6864062387
494	0.6863519999
495	0.686278582
496	0.6861292906
497	0.6860547185
498	0.6860157981
499	0.6859967761
500	0.6859676541
501	0.6859055066
502	0.6858768446
503	0.6858548543
504	0.6857292517
505	0.6856349765
506	0.6855866305
507	0.6855411078
508	0.6855095108
509	0.6854650927
510	0.6854460369
511	0.685437372
512	0.6854071751
513	0.6853587014
514	0.6852520314
515	0.685228071
516	0.6851020284
517	0.685033804
518	0.6850214546
519	0.6849794262
520	0.6849718013
521	0.6849399395
522	0.6847753738
523	0.6847616799
524	0.6845317739
525	0.684469488
526	0.6844415269
527	0.6844009489
528	0.6843234635
529	0.6841579882
530	0.6840763563
531	0.6840190264
532	0.6840072037
533	0.683992758
534	0.6839781737
535	0.6839032612
536	0.6838783443
537	0.6838584357
538	0.6838229212
539	0.6838081369
540	0.6837885991
541	0.6837845184
542	0.6837721475
543	0.6837317823
544	0.6836915633
545	0.683628252
546	0.6835964788
547	0.6834971863
548	0.6834484575
549	0.6834255548
550	0.683381243
551	0.6833623783
552	0.6833492609
553	0.6833304063
554	0.683263617
555	0.6832294427
556	0.6831322393
557	0.6831014404
558	0.6829169369
559	0.6828610899
560	0.6828381678
561	0.6828019877
562	0.682791123
563	0.6827358011
564	0.6826815219
565	0.6825400882
566	0.6825242128
567	0.682464826
568	0.6824520322
569	0.6824124869
570	0.6823146283
571	0.6822912362
572	0.6822375311
573	0.6821578076
574	0.6821389925
575	0.6821249378
576	0.6820898364
577	0.6820529138
578	0.6820107519
579	0.6819881897
580	0.6819693881
581	0.6819052791
582	0.6818848211
583	0.6818160195
584	0.6817349069
585	0.6817267865
586	0.6817155301
587	0.6816524107
588	0.6815987708
589	0.6814652635
590	0.6814092464
591	0.6813629754
592	0.6813488737
593	0.6812887426
594	0.6812002318
595	0.6811698158
596	0.6811522456
597	0.6811393507
598	0.6810982373
599	0.6810774546
600	0.6810670798
601	0.6810090484
602	0.6809754174
603	0.6809480092
604	0.6809302984
605	0.6809162757
606	0.6808585115
607	0.6808111676
608	0.6807600443
609	0.6807521575
610	0.6807101714
611	0.6807035829
612	0.6805806718
613	0.6805740607
614	0.6805511454
615	0.6804645234
616	0.6803728726
617	0.6803225065
618	0.6803034567
619	0.6802419726
620	0.6802274078
621	0.6801519994
622	0.6801367329
623	0.6801234404
624	0.6801061673
625	0.6800143379
626	0.679995588
627	0.6799653747
628	0.6799118001
629	0.6798780455
630	0.6798336935
631	0.6797161616
632	0.6796145305
633	0.6795890192
634	0.679582556
635	0.6795464218
636	0.6794849213
637	0.6793900521
638	0.6793708936
639	0.6793355683
640	0.6793230385
641	0.6792956645
642	0.6792606037
643	0.6792502779
644	0.6792157374
645	0.6792023481
646	0.6791797459
647	0.6791426096
648	0.6791170074
649	0.6790028975
650	0.6789917929
651	0.6789812532
652	0.6789174544
653	0.6788842145
654	0.6788714543
655	0.6788462922
656	0.6788409947
657	0.6788306657
658	0.6787728979
659	0.6787515114
