iter	Passed	Remaining
0	191	1918262
1	230	1151453
2	273	910458
3	306	764704
4	342	685171
5	378	630865
6	413	590887
7	442	553172
8	472	524469
9	503	503248
10	532	483387
11	560	466677
12	590	454012
13	619	441717
14	646	430057
15	673	420514
16	701	411921
17	728	403899
18	754	396512
19	781	389864
20	807	383575
21	832	377756
22	859	372828
23	904	376150
24	944	376796
25	977	374930
26	1006	371609
27	1034	368328
28	1060	364734
29	1087	361255
30	1113	358031
31	1139	355095
32	1165	351915
33	1193	349968
34	1223	348355
35	1251	346339
36	1277	344124
37	1306	342506
38	1333	340598
39	1360	338668
40	1386	336755
41	1412	334895
42	1438	333042
43	1465	331584
44	1492	330265
45	1520	329120
46	1547	327680
47	1574	326514
48	1602	325420
49	1629	324187
50	1655	323036
51	1681	321711
52	1707	320532
53	1734	319432
54	1760	318341
55	1787	317364
56	1815	316641
57	1841	315609
58	1867	314699
59	1894	313835
60	1921	313011
61	1950	312667
62	1978	312095
63	2007	311664
64	2035	311044
65	2061	310340
66	2088	309570
67	2114	308885
68	2143	308463
69	2169	307805
70	2196	307176
71	2222	306492
72	2248	305830
73	2275	305270
74	2302	304712
75	2330	304339
76	2356	303737
77	2383	303163
78	2409	302628
79	2436	302168
80	2465	301922
81	2491	301345
82	2522	301337
83	2549	300979
84	2577	300651
85	2604	300250
86	2631	299851
87	2657	299373
88	2684	298977
89	2713	298820
90	2740	298438
91	2767	298099
92	2794	297724
93	2822	297425
94	2850	297178
95	2876	296786
96	2903	296402
97	2930	296132
98	2958	295920
99	2989	295944
100	3020	296053
101	3047	295726
102	3076	295586
103	3104	295390
104	3132	295160
105	3158	294819
106	3191	295105
107	3220	294954
108	3250	294972
109	3278	294799
110	3307	294643
111	3334	294425
112	3361	294121
113	3388	293812
114	3415	293551
115	3441	293254
116	3467	292887
117	3495	292757
118	3528	292946
119	3562	293350
120	3607	294566
121	3641	294847
122	3670	294724
123	3697	294494
124	3725	294315
125	3753	294108
126	3779	293797
127	3807	293657
128	3834	293394
129	3862	293222
130	3892	293227
131	3924	293368
132	3974	294850
133	4015	295672
134	4056	296389
135	4099	297370
136	4133	297578
137	4164	297639
138	4201	298092
139	4229	297864
140	4258	297768
141	4288	297685
142	4316	297564
143	4344	297340
144	4372	297148
145	4398	296873
146	4425	296618
147	4451	296309
148	4477	296042
149	4512	296309
150	4558	297335
151	4591	297513
152	4621	297428
153	4651	297413
154	4680	297284
155	4709	297155
156	4739	297149
157	4780	297784
158	4814	297995
159	4845	297990
160	4873	297856
161	4903	297774
162	4932	297649
163	4959	297477
164	4992	297603
165	5022	297519
166	5051	297444
167	5080	297305
168	5110	297300
169	5139	297188
170	5169	297145
171	5197	296969
172	5228	296973
173	5258	296965
174	5291	297079
175	5330	297540
176	5359	297448
177	5388	297361
178	5418	297279
179	5446	297137
180	5476	297090
181	5505	296994
182	5538	297100
183	5567	296989
184	5601	297156
185	5630	297110
186	5659	296966
187	5687	296864
188	5715	296717
189	5742	296513
190	5771	296424
191	5801	296380
192	5832	296374
193	5862	296324
194	5892	296291
195	5920	296165
196	5951	296159
197	5980	296040
198	6009	295953
199	6038	295887
200	6069	295903
201	6112	296462
202	6144	296525
203	6173	296458
204	6203	296407
205	6231	296270
206	6260	296160
207	6288	296054
208	6316	295905
209	6343	295748
210	6373	295692
211	6403	295661
212	6431	295527
213	6458	295356
214	6489	295354
215	6518	295248
216	6546	295155
217	6575	295071
218	6604	294968
219	6633	294906
220	6663	294845
221	6692	294789
222	6723	294756
223	6750	294611
224	6780	294574
225	6808	294458
226	6844	294695
227	6880	294898
228	6909	294830
229	6939	294774
230	6968	294715
231	7003	294854
232	7030	294718
233	7059	294623
234	7087	294502
235	7120	294601
236	7148	294488
237	7177	294381
238	7203	294210
239	7231	294084
240	7259	293969
241	7285	293770
242	7312	293621
243	7339	293472
244	7367	293334
245	7394	293177
246	7420	292986
247	7447	292859
248	7472	292646
249	7509	292880
250	7544	293015
251	7574	292983
252	7602	292904
253	7629	292756
254	7660	292745
255	7689	292668
256	7721	292735
257	7749	292625
258	7776	292474
259	7804	292364
260	7830	292203
261	7857	292037
262	7883	291870
263	7910	291715
264	7937	291573
265	7964	291437
266	7997	291547
267	8029	291571
268	8059	291561
269	8089	291512
270	8115	291353
271	8141	291181
272	8169	291093
273	8195	290926
274	8221	290759
275	8250	290664
276	8275	290495
277	8301	290323
278	8339	290560
279	8376	290770
280	8412	290964
281	8440	290879
282	8468	290756
283	8496	290683
284	8524	290578
285	8551	290454
286	8577	290276
287	8603	290114
288	8630	289986
289	8658	289912
290	8687	289836
291	8715	289743
292	8742	289631
293	8769	289507
294	8794	289329
295	8820	289167
296	8846	289024
297	8872	288875
298	8899	288730
299	8925	288606
300	8952	288470
301	8979	288343
302	9006	288238
303	9032	288103
304	9060	288008
305	9086	287860
306	9114	287777
307	9142	287705
308	9169	287570
309	9195	287438
310	9222	287326
311	9251	287260
312	9277	287123
313	9304	287029
314	9331	286913
315	9359	286823
316	9386	286706
317	9412	286573
318	9438	286429
319	9464	286307
320	9490	286170
321	9516	286016
322	9543	285932
323	9569	285796
324	9597	285705
325	9623	285566
326	9649	285451
327	9677	285360
328	9704	285253
329	9729	285111
330	9756	285009
331	9782	284865
332	9808	284755
333	9834	284608
334	9860	284480
335	9887	284379
336	9913	284257
337	9939	284133
338	9966	284027
339	9992	283896
340	10017	283759
341	10043	283626
342	10069	283505
343	10095	283387
344	10122	283296
345	10149	283179
346	10176	283091
347	10203	283001
348	10229	282887
349	10255	282766
350	10284	282721
