,p0q0
0,-0.5646689393278119
1,0.11217189618485852
2,0.2877761694334558
3,0.15977842167160455
4,-0.44425656895124
5,-0.3752269143319052
6,-0.0422928333763515
7,0.012349520614697428
8,-0.4191227218296917
9,-0.3662841850544019
10,-0.003826354891140697
11,-0.010172100087964743
12,-0.8045531040490467
13,-0.3950737948835797
14,-0.9224437131180746
15,-0.01620447539384914
16,-0.40819283094521386
17,-0.5468862605743672
18,-0.04875528931952197
19,-0.002434066921689286
20,-0.38258561287872006
21,-0.5468862605743672
22,-0.022699729543878767
23,-0.02503794955646853
24,-0.3510503603021099
25,-0.8914843113508608
26,0.01438305090295476
27,-0.0017154116194907356
28,-0.8605275054197344
29,-1.0111923065640938
30,0.0006460361655121469
31,0.0059734662889962065
32,-0.44425656895124
33,-0.5556992632189077
34,-0.0041613715209520155
35,-0.002434066921689286
36,-0.4550731125900797
37,-0.7813969502720732
38,-0.3548361847918177
39,0.14544752696654284
40,-0.748372865074914
41,-0.3762840842686181
42,-0.23407506727540048
43,0.09923864590266854
44,-0.011361805419855818
45,-0.9601657297205519
46,0.0003990151651105301
47,-1.3677702666584364
48,0.032193643208372764
49,-1.0385307359157594
50,0.019204747066202277
51,-1.1078040487896652
52,0.0011928685416007613
53,-1.0894156420264969
54,0.04208842480672321
55,-0.4893995578784768
56,-0.15541322368474655
57,-1.022962200798021
58,-0.5497855682555859
59,-0.1821546031234669
60,-1.0639228166664199
61,-0.9971360548681776
62,-0.16283443581956616
63,-0.8621620548243479
64,-0.986729267065857
65,-0.14888617828191184
66,-1.0322979552381002
67,0.3019551907857389
68,-1.0010903281297827
69,-0.07140280226539958
70,-1.1048286006837968
71,-1.0010903281297827
72,-0.16283443581956616
73,-0.9465883209771198
74,-0.014265589248395381
75,-1.023867125303475
76,-0.5426646540773661
77,-1.8345080561402825
78,0.01410207958318342
79,-0.986729267065857
80,-0.07154035224203455
81,-0.97283133553304
82,-0.020374857186208864
83,-1.411443921611607
84,-0.16225176872016348
85,-0.9535043197456299
86,-0.0028402373089702277
87,-1.0282014557372774
88,-0.1134895158931188
89,-0.6682810701450436
90,0.030664850468682593
91,-0.8178348763827242
92,-0.09249391035455047
93,-0.9455456054280155
94,0.026597753066755093
95,-0.998418815588318
96,-0.12666332231005345
97,-1.013387013699269
98,0.021414568831685243
99,-1.0684289528491258
100,-0.1963072680481969
101,-0.862262057002795
102,0.5688200699039672
103,-0.03881825916902327
104,-0.012751169068689902
105,0.017889330769142644
106,-0.017662556748478057
107,-0.03468323898244105
108,-0.4521255676274545
109,-0.7813969502720732
110,-0.08412232501086123
111,-0.01381317300650157
112,-0.748372865074914
113,-0.45715860302350336
114,-0.053715775244854304
115,-0.023212635605716403
116,-0.7996543274527496
117,-0.24526961648408038
118,-0.03150521573644204
119,0.00611647370890015
120,-0.5885750673299405
121,-0.45715860302350336
122,-0.2683593682806489
123,-0.00031126481527746745
124,-0.1061261665704408
125,0.5674019506291016
126,0.10764761467838932
127,0.010001580289150646
128,-0.010125362517723223
129,0.005600480690662658
130,-0.0005822149896385808
131,-0.010932425045826323
132,-0.012464788183411199
133,0.00839437039052184
134,0.09872371156085781
135,-0.0293869173282892
136,0.019520916113041433
137,-0.0023299943748459843
138,0.07975081819378464
139,-0.002832525711554654
140,0.017889330769142644
141,0.0004534930331110681
142,-0.01143912513971663
143,0.003974182339758467
144,-0.9276583038627396
145,1.3568105126942007
146,0.01926236614504439
147,-0.9318640325781701
148,1.3829831900657021
149,0.0003990151651105301
150,-0.8860723936064745
151,1.358818590513081
152,0.0035602813248132538
153,-1.0294701725413753
154,1.0397372489285392
155,-0.016097234944199137
156,-1.0589218223854437
157,1.040397300796045
158,0.0535933853338719
159,-1.2712628396886785
160,1.5258803642928598
161,-0.0013644056495138138
162,-1.0308850318086908
163,1.1720941961963205
164,-0.0001502435624852901
165,-1.6464181522778665
166,1.4034921640795064
167,-0.0013644056495138138
168,-1.509108219993332
169,1.8545414034850407
170,0.00017121719933762105
171,-1.3757988888747883
172,1.1093899214490235
173,-0.0001502435624852901
174,-1.0995582101594634
175,1.7349326653936523
176,0.02938545399806509
177,-1.0362795967371972
178,1.3763196082942162
179,0.13797155207721404
180,-1.1865593364838556
181,0.5979839449182678
182,0.2658274439475919
183,-0.0001502435624852901
184,-1.2681554788689218
185,1.6846166688818855
186,0.0011928685416007613
187,-1.2168073798686387
188,1.2275414076519815
189,-0.09269356371356717
190,-1.1011879929780992
191,1.0412691649170451
192,-0.0011724659625421434
193,-1.11908914254362
194,1.4556088522732766
195,-0.9971360548681776
196,-0.15487145275331932
197,-0.8570541161100794
198,-0.986729267065857
199,-0.1804050633149397
200,-0.7024183123812626
201,-1.053795492984558
202,-0.18248734156456023
203,-0.8285229505593154
204,-1.1100366847391623
205,-0.2901374901875777
206,-0.7904283708037039
207,-1.0184894725368403
208,-0.13073993739305023
209,-0.8226546939858699
210,-1.011282384402813
211,-0.10125463617800042
212,-0.825317144247713
213,0.03723802648551609
214,0.04525457313817962
215,0.054585035616157254
216,-1.1833665541423035
217,2.1148967898144435
218,0.2353874663805496
219,0.6197499266583222
220,-1.1285765113968422
221,2.5032908357088384
222,0.2314253461222739
223,0.3611974527739014
224,-0.997893518236278
225,2.584730372452092
226,0.25757766787016306
227,0.026975207298480568
228,-1.2056829762971912
229,2.3814625298844767
230,0.5274144268350852
231,0.026975207298480568
232,-1.1195676991790513
233,2.6353159368144734
234,0.21172237465021845
235,0.5617556867793235
236,-1.1183287771943629
237,1.924407245397044
238,0.4768763519621984
239,0.22339213682611553
240,-1.03244628396458
241,2.5236876522890643
242,-1.0262582428139846
243,0.21317347729715827
244,-1.030082186527407
245,2.369568196870932
246,0.3138438573247261
247,0.3638807239694547
248,-1.2481866537594464
249,-0.025999188933409537
250,0.8182468592778291
251,0.03312861136408473
252,-1.1365999504730098
253,2.3712126425762814
254,0.28164320021550254
255,0.013115831264048633
256,-1.0881677164244417
257,2.8659263925015246
258,0.26724293066654875
259,0.7746188407324988
260,-0.884151976326498
261,2.483364416278798
262,0.2987231406732826
263,0.037795613521197764
264,-0.04750353733155156
265,0.7541943380333
266,-0.8192453440128693
267,0.016280892572337002
268,-1.97179484644516
269,0.8355213377796173
270,-1.8156627128235707
271,0.05147715898154942
272,-1.0356995002602656
273,0.017640832442577418
274,-0.0054611996109923495
275,-0.05432311277942979
276,-1.0663873299967257
277,0.0022760073397763893
278,0.01970069527543356
279,-0.02299223925411048
280,-1.0642463040950416
281,0.010359473980140923
282,-0.027199783552964603
283,-0.054163085143066746
284,-1.1929667956941927
285,-0.0008947987684517347
286,0.011737191473582048
287,-0.021584784813567764
288,0.2435615827570671
289,0.10066793718054616
290,0.09562250988958725
291,-0.008324154829283075
292,-1.010644923823167
293,-0.021217457921600482
294,-1.0702272540074302
295,-0.008531193016303715
296,-0.995045379077527
297,-0.020475377989898267
298,0.007367870745696636
299,-0.9983384201678378
300,-0.02245858177160565
301,-0.9407277174642524
302,0.024664233903516
303,-1.0029108998271392
304,-0.02245858177160565
305,-1.0210091026662031
306,0.0009620063944195167
307,-1.9318419789072716
308,0.21153945298704316
309,-2.1452112161430366
310,-0.018369465343612564
311,-0.9946616232792401
312,0.0005164704326742721
313,-0.8570902197468455
314,0.006941377620774265
315,0.233807649087864
316,0.5466701179342441
317,0.28648657899896535
318,-0.046035347054142355
319,0.2256388181451154
320,0.6658709417162528
321,0.2755459998518446
322,-0.04991288347337121
323,0.4074182169639435
324,0.4935264125976725
325,0.0004706867248981626
326,-0.046035347054142355
327,0.6822085946237366
328,0.743823471454785
329,0.04947926788912307
330,-0.04991288347337121
331,-2.0461170976131333
332,-1.975465672925617
333,-0.007437411940327608
334,-1.987400265218827
335,2.8553308018751187
336,-1.2651701094613927
337,0.04393224337205447
338,-1.0516188922465912
339,3.0693698155314286
340,0.06013475407790477
341,-0.06639643385532142
342,-0.017532836493147446
343,3.105993652769198
344,-1.9523638575291775
345,-0.025462109873557254
346,-0.09135335211712393
347,2.099702883892251
348,-2.1371266911748537
349,-0.04158959545312132
350,-0.36675240001358245
351,2.886056213116164
352,-1.9119436718661147
353,-0.03654048642334858
354,-2.0299851957185013
355,2.9724374841634122
356,-1.0320320182408704
357,0.026487573660712187
358,-0.6459302159733151
359,2.4191799487550028
360,-1.7209678727773479
361,-0.03544386202022662
362,-1.8500235485874403
363,2.8126935256486996
364,-1.9479920375758382
365,-0.07652995888375423
366,-0.1795392889518506
367,2.099702883892251
368,-1.1172260213516352
369,0.000617036179950031
370,-0.08422824983673391
371,-0.9090968067680133
372,2.5816631397610976
373,-1.118838885125479
374,-0.0020454716602469006
375,-1.1351999967033715
376,2.8195937090429237
377,-1.2575177257190286
378,-0.28176624765530983
379,0.0008515938005307696
380,-0.05628621012436581
381,-0.018119446369430754
382,-0.027107791793297847
383,0.005061701021750951
384,-0.22462847090373297
385,-0.03610227103931917
386,-0.09616573351754709
387,0.055428114160514595
388,-0.2274754291695255
389,0.1320544671410325
390,-1.9524411763471388
391,0.05065270239751725
392,-0.07559595143780273
393,-0.022036638546939446
394,-0.34232326623307285
395,0.01776486485245001
396,-0.4956401431780157
397,-0.027539861884761548
398,-1.912504410461628
399,0.010705882296806607
400,-0.08613718374153895
401,-0.124445693595557
402,-1.3155001053428548
403,0.03839920834617313
404,-0.46211201885072506
405,0.07661274893835307
406,-0.10637414921840739
407,0.011600653816998412
408,-0.09289650992596515
409,-0.036247173429923285
410,-2.095401624564147
411,0.8522876886894528
412,-0.35887864715472306
413,0.03585341970563833
414,-1.0585346438662866
415,0.11916221556361536
416,-0.08336700628004831
417,-0.24129269906639492
418,-0.05681288436609234
419,-0.2974254496570623
420,-0.41439443011842536
421,-0.06800259012407045
422,-0.11485664215384876
423,0.05490286727695802
424,-0.00039807690643558753
425,-0.2458515811185782
426,0.32528669748691164
427,0.02512011732568166
428,-0.04774789068185146
429,0.3583047326816814
430,0.33700719113893224
431,-0.11597338887145141
432,0.563015444213207
433,0.35725174900655615
434,0.036181685759366755
435,0.30764355821973316
436,0.9300753515068364
437,-0.11128140829457574
438,-0.0009336104605138254
439,0.6283401585414559
440,0.9299094245048577
441,-0.8866078725930524
442,-0.0009336104605138254
443,0.7380856932673568
444,0.8812669912737148
445,0.013770314061301836
446,-0.47073996856972133
447,-0.860383473160426
448,0.8604974580733319
449,-0.4869141688081554
450,-0.9036153796041002
451,0.948220197304583
452,-0.9467702732446084
453,-0.9406661438291085
454,-0.2906665167247478
455,-0.5915640094290087
456,-1.0623982214866285
457,0.9535347125369239
458,-1.0633655293070763
459,-1.0273474396607039
460,0.8702418802398811
461,-0.2783743111897024
462,-0.9689662636306936
463,0.8832656798339273
464,-0.7322350180928368
465,-0.9833008712549905
466,0.7978272311879637
467,-0.008592765805296824
468,1.1158524271531916
469,0.9200977845708505
470,-0.157541930687132
471,0.011384602723897868
472,-0.008318978396068386
473,0.005844902764861603
474,0.0030842492606828853
475,-0.002515817205184647
476,-0.157541930687132
477,0.002609607639497119
478,-0.00217191884967785
479,-0.004375065741415374
480,-0.007201339832853526
481,-0.006962014323397197
482,-0.051937191609514495
483,0.0013339334641018588
484,-0.003163692796208728
485,0.011597744998933924
486,0.03872581395928598
487,0.000849726820593544
488,-0.07019779656792925
489,0.017889330769142644
490,-0.026610288170631574
491,-0.09637519540627953
492,-0.005035654370396762
493,0.7341566079539484
494,-0.0031793668384285023
495,-0.9310629049668442
496,-0.14277751726430835
497,-0.9738976446446617
498,0.02420754462841812
499,0.004152082208771149
500,-0.9929824981289417
501,-0.0005642446253742531
502,0.0010324374583268996
503,-1.0101829758248875
504,0.0023285222051508646
505,-0.037421501327155236
506,-0.008080300364857932
507,0.0035403200192678248
508,-0.01535750466234863
509,-0.031408539118968834
510,-0.05466608096317795
511,-0.7008925185769979
512,-0.00343624235783425
513,-0.003930737143466219
514,-1.3086699683645568
515,-0.1058925338068958
516,0.018536802286211084
517,-0.9820132606166452
518,-0.00343624235783425
519,0.001483831039203425
520,-0.8790419504407592
521,-0.00031011755194348473
522,-0.03564811486725024
523,-0.9523640424907545
524,-0.08346131992139623
525,0.004152082208771149
