,p0q0
0,1.2449629
1,0.23730978
2,0.23339717
3,0.7576667
4,0.5053455
5,0.57288724
6,0.70144385
7,0.81878847
8,0.5361514
9,0.43670985
10,0.4129894
11,0.41555965
12,0.73502225
13,0.7358591
14,0.6103555
15,0.6997748
16,0.29252973
17,0.23072885
18,0.23072903
19,0.23072885
20,0.3484415
21,0.34563357
22,0.3484415
23,0.34563234
24,0.3484415
25,0.34563234
26,0.3484415
27,0.34563234
28,0.6006818
29,0.7360557
30,0.34843746
31,0.34843746
32,0.23072885
33,0.23072885
34,0.23072885
35,0.23072885
36,0.3456283
37,0.34879574
38,0.34563234
39,0.34563234
40,0.3484415
41,0.34563234
42,0.3484415
43,0.34563234
44,0.34563234
45,0.3459218
46,0.23072885
47,0.23072885
48,0.73605555
49,0.73553616
50,0.23072885
51,0.23072885
52,0.73756546
53,0.7374458
54,0.7358448
55,0.73548585
56,0.23051767
57,0.73548585
58,0.73548585
59,0.23051767
60,0.73548585
61,0.23015873
62,1.240813
63,0.23015873
64,0.36216918
65,0.36358526
66,0.35900113
67,0.3621727
68,0.36178434
69,0.7339539
70,0.35912082
71,0.23072885
72,1.2413831
73,0.23072885
74,1.2413831
75,0.34905568
76,0.35046035
77,0.34588766
78,0.34906304
79,0.34754586
80,0.34142685
81,0.35957125
82,0.35007027
83,0.73605597
84,0.23108779
85,0.36238164
86,0.23108779
87,-0.5350329
88,-1.2716352
89,-0.8077432
90,-1.2722906
91,0.5044839
92,1.5151381
93,0.5044839
94,1.5151381
95,0.62391514
96,0.5048427
97,0.6224518
98,0.117486164
99,0.50448376
100,0.5076538
101,0.50449806
102,0.50775486
103,0.505148
104,0.50826746
105,0.620424
106,0.62704223
107,0.6225901
108,0.34494755
109,0.3498272
110,0.34486693
111,0.34843558
112,0.34674183
113,0.7374245
114,0.73247844
115,0.7355904
116,0.7354632
117,0.7354654
118,0.44032228
119,0.44032434
120,0.44033673
121,0.43759558
122,0.4404334
123,0.43896884
124,0.7374245
125,0.7374253
126,0.73242164
127,0.7374436
128,0.23013781
129,0.23013781
130,0.23013751
131,0.23013745
132,0.23013751
133,0.2301508
134,0.23013793
135,0.73544174
136,0.735465
137,0.7354649
138,0.23330592
139,0.3480102
140,0.34506887
141,0.34505785
142,0.34823936
143,0.23015873
144,0.23027842
145,0.23072885
146,0.23072885
147,0.23072885
148,0.23072885
149,0.23072885
150,0.23072885
151,0.23077182
152,0.23072885
153,0.23072885
154,0.23072885
155,0.23072885
156,0.23072885
157,0.23072885
158,0.34974957
159,0.34982654
160,0.3452505
161,0.23015533
162,0.23015533
163,0.23015533
164,0.73548245
165,0.7354634
166,0.73526657
167,0.23015533
168,0.23015533
169,0.23015533
170,0.23015533
171,0.23015533
172,0.23015533
173,0.73548245
174,0.73548263
175,0.347864
176,0.23026471
177,0.23071794
178,0.23072885
179,0.34562886
180,0.34879568
181,0.35020027
182,0.34879568
183,-0.7393882
184,-0.5308074
185,-0.45306033
186,1.0119326
187,1.0123355
188,1.0070237
189,0.5050612
190,0.5046391
191,0.50457436
192,0.5045654
193,0.5045642
194,0.5045641
195,0.5045641
196,1.5152183
197,0.5045641
198,0.61947656
199,0.9759682
200,0.61946285
201,0.62264925
202,0.6241735
203,0.34628353
204,0.23072885
205,0.23389696
206,0.23089819
207,0.73605597
208,0.23108779
209,0.7155688
210,0.23072885
211,0.23389696
212,0.23072885
213,0.4380383
214,0.44120634
215,0.73324716
216,0.7374337
217,0.73711985
218,0.7360291
219,0.732861
220,0.7374297
221,0.7360291
222,0.7360291
223,0.73286104
224,0.7374337
225,0.7360296
226,0.73602927
227,0.23034313
228,0.23351118
229,0.23036394
230,0.23033896
231,0.7356677
232,0.23068182
233,0.23347537
234,0.26171046
235,0.23072885
