,p0q0
0,-1.1755959
1,0.35742614
2,0.43902194
3,0.16003428
4,-0.2312666
5,-0.52762306
6,0.01962051
7,0.085706
8,-0.21861024
9,-0.5440086
10,0.013166595
11,0.09755335
12,-0.6366146
13,-0.5622186
14,-0.70863163
15,0.09088338
16,-0.2409241
17,-0.41272494
18,-0.17980829
19,0.11232779
20,-0.23494512
21,-0.41272494
22,-0.0786047
23,0.07126825
24,-0.20565654
25,-0.7272357
26,0.14161035
27,0.1019941
28,-0.5142334
29,-0.7849197
30,0.043691944
31,0.09778806
32,-0.2312666
33,-0.4173051
34,-0.08858868
35,0.11232779
36,-0.2904839
37,-0.5405981
38,-0.037325446
39,0.17512868
40,-0.48477495
41,-0.55333054
42,-0.08938616
43,0.18429324
44,-0.0009850676
45,-0.88161194
46,-0.019737193
47,-1.0952963
48,0.0032504303
49,-0.9121255
50,-0.0131431
51,-0.89765126
52,0.0043272753
53,-0.9801443
54,-0.2841081
55,-0.741579
56,-0.028676465
57,-1.0889133
58,-0.7522175
59,-0.123023584
60,-1.1685671
61,-0.99340224
62,0.0014571252
63,-0.90706885
64,-1.0243487
65,-0.060104437
66,-1.0779717
67,0.16927314
68,-0.9943482
69,-0.078580834
70,-1.2114409
71,-0.9943482
72,0.0014571252
73,-0.9622244
74,0.1381015
75,-1.0309383
76,-0.4257663
77,-1.085216
78,0.23317449
79,-1.0243487
80,0.061397478
81,-1.0146642
82,0.015425582
83,-1.1075832
84,0.0025059266
85,-0.9961667
86,0.0667895
87,-1.0499654
88,-0.119991355
89,-0.92530096
90,0.060052853
91,-0.9790327
92,-0.010766632
93,-0.875483
94,-0.12387463
95,-1.0074743
96,-0.112812646
97,-0.8941269
98,0.02000563
99,-1.0215434
100,-0.009919621
101,-0.80090547
102,0.68216515
103,-0.00992765
104,-0.01061799
105,0.041833267
106,-0.071925916
107,0.0021380186
108,-0.30532613
109,-0.5405981
110,-0.11199369
111,0.09414611
112,-0.48477495
113,-0.6168963
114,-0.016474115
115,0.08471478
116,-0.55655277
117,-0.17732553
118,-0.017052341
119,0.09451615
120,-0.43857795
121,-0.6168963
122,1.055247
123,0.08730135
124,-0.620737
125,0.77719384
126,0.14824967
127,-0.012316443
128,0.0010237586
129,-0.015832039
130,-0.07678719
131,0.017118488
132,-0.05690987
133,0.063022666
134,0.07446912
135,0.009499337
136,0.11087357
137,-0.008938848
138,0.012414114
139,-0.020711206
140,0.041833267
141,0.4511242
142,-0.023149744
143,-0.002550031
144,-0.90733165
145,1.8307014
146,-0.016535422
147,-0.991463
148,1.6764779
149,-0.019737193
150,-0.87034637
151,1.8331792
152,-0.017007517
153,-0.9405058
154,1.1485327
155,-0.014641701
156,-1.0312043
157,1.1752597
158,0.0035996642
159,-1.162665
160,1.6204019
161,0.0045877723
162,-1.3785532
163,1.2082188
164,0.002490344
165,-1.291234
166,1.9208765
167,0.0045877723
168,-1.5272975
169,2.1623769
170,-0.023632683
171,-1.3785821
172,1.1801142
173,0.002490344
174,-0.9624102
175,2.075847
176,0.094649605
177,-0.9801793
178,1.3177041
179,0.004725226
180,-0.96141744
181,0.20955545
182,0.5250049
183,0.002490344
184,-1.142763
185,1.986322
186,0.0043272753
187,-0.9642956
188,1.3175986
189,0.00046627433
190,-1.0252025
191,1.1613587
192,-0.024571078
193,-0.99450046
194,1.8552392
195,-0.99340224
196,-0.0060973535
197,-0.6949309
198,-1.0243487
199,-0.11467412
200,-0.30455065
201,-1.0087034
202,-0.019457906
203,-0.27957618
204,-0.97605294
205,-0.12044019
206,-0.2846285
207,-1.043245
208,-0.2554753
209,-0.49173102
210,-0.934824
211,-0.07998257
212,-0.5376445
213,0.0040843934
214,0.43472016
215,0.13982613
216,-1.4949677
217,1.7612506
218,0.6881983
219,0.6495326
220,-1.2029978
221,2.441823
222,0.17313877
223,0.33874533
224,-1.1417625
225,2.3281066
226,0.13807113
227,0.0067945546
228,-1.7414266
229,1.9665936
230,0.7390512
231,0.0067945546
232,-1.3172859
233,2.3914177
234,0.20050837
235,0.30482334
236,-1.1222985
237,2.223291
238,0.6996197
239,0.1532108
240,-1.1103936
241,2.4330375
242,-1.879588
243,-0.020676643
244,-1.1516707
245,2.2065845
246,0.6336823
247,0.42122263
248,-1.4536558
249,0.0062706885
250,0.3677596
251,0.0056103044
252,-0.98814625
253,2.3728786
254,0.2587081
255,0.14525789
256,-1.445805
257,2.4880164
258,0.38201427
259,0.6653611
260,-1.132056
261,2.2613413
262,0.5974266
263,0.08514781
264,-0.13482226
265,0.5920199
266,-0.6843024
267,0.030725215
268,-2.0052023
269,0.6710276
270,-1.8139088
271,0.15988956
272,-1.0761145
273,0.023250196
274,-0.0073303804
275,-0.06646748
276,-1.0518829
277,0.004386024
278,-0.1044132
279,-0.074662276
280,-1.0697087
281,0.01154728
282,-0.050474197
283,-0.1619926
284,-1.1269642
285,0.023968788
286,-0.00039531515
287,-0.019538995
288,0.2799551
289,0.18621205
290,0.1266387
291,-0.062601514
292,-0.95400435
293,0.062777616
294,-1.0729582
295,0.048823968
296,-1.0098598
297,0.037214514
298,0.018036174
299,-1.1146297
300,0.06487258
301,-1.0322572
302,0.17492385
303,-1.0102229
304,0.06487258
305,-1.0926151
306,0.054249424
307,-1.4537637
308,0.16145493
309,-2.3789997
310,0.092982225
311,-1.0245969
312,0.10290609
313,-1.2126908
314,0.10872521
315,0.24319482
316,0.67973673
317,0.38408187
318,-0.034662277
319,0.25036982
320,0.7838086
321,0.35558864
322,-0.025800714
323,0.38529947
324,0.7140506
325,0.023252223
326,-0.034662277
327,0.47396427
328,0.75619495
329,0.052395754
330,-0.025800714
331,-1.9540247
332,-1.4628472
333,0.0015723457
334,-1.7948319
335,2.6633403
336,-1.2907442
337,-0.031896684
338,-1.1196396
339,3.0429153
340,-0.019749904
341,0.00132143
342,-0.04616613
343,2.8038266
344,-1.5988326
345,0.018273553
346,-0.1512299
347,2.169048
348,-2.2756839
349,-0.052960888
350,-0.38323456
351,2.9972754
352,-1.506245
353,-0.050046943
354,-2.1456647
355,2.9743237
356,-0.88720715
357,-0.05540361
358,-1.1378735
359,2.3679745
360,-1.4409466
361,-0.025158647
362,-1.9003509
363,2.679316
364,-1.5786817
365,-0.052054517
366,-0.22490408
367,2.169048
368,-1.0535352
369,0.00688422
370,0.01955734
371,-0.13211115
372,2.5702837
373,-1.1605979
374,-0.0061616455
375,-1.0201495
376,2.8896706
377,-1.3691868
378,-0.28773656
379,-0.023750355
380,-0.04649641
381,0.013863517
382,-0.05936358
383,0.079357974
384,-0.086690135
385,-0.054925896
386,-0.13127302
387,-0.009378143
388,-0.11135785
389,0.002955072
390,-1.9084725
391,0.06339882
392,-0.12268841
393,-0.07029981
394,-0.56990314
395,0.07799606
396,-0.26927713
397,-0.088975705
398,-1.9729569
399,0.027347693
400,-0.20751001
401,-0.50185716
402,-1.6489975
403,0.027876385
404,-0.29653755
405,-0.00822402
406,-0.12059228
407,0.021100601
408,-0.16065636
409,-0.051487297
410,-2.2339227
411,0.9042879
412,-0.50399286
413,-0.101329
414,-1.4020928
415,-0.09061922
416,0.04452078
417,-0.22859648
418,-0.1317702
419,-0.90164727
420,-0.4073268
421,-0.15300013
422,-0.17097051
423,0.15013613
424,0.02399579
425,-0.19533475
426,0.32631028
427,-0.018120699
428,-0.057079457
429,0.4435879
430,0.4270161
431,0.04538663
432,0.7924656
433,0.5133852
434,-0.021362603
435,0.46791872
436,1.0542897
437,-0.012193588
438,-0.0019902904
439,0.7022721
440,0.9433007
441,-0.6449919
442,-0.0019902904
443,0.57268214
444,0.9066318
445,0.020122942
446,-0.659488
447,-0.68671364
448,0.83312696
449,-0.9712578
450,-0.7580167
451,0.87127566
452,-1.6009876
453,-0.8786451
454,-0.80133575
455,-1.0919455
456,-1.0348628
457,0.7642165
458,-1.3053312
459,-1.0096943
460,0.7518416
461,-0.879068
462,-0.9955238
463,0.8022557
464,-1.4435439
465,-0.9634832
466,0.67067313
467,-0.005794975
468,1.2164404
469,0.96213394
470,-0.038965497
471,0.19524544
472,-0.01784245
473,-0.01542395
474,0.061549094
475,0.07497124
476,-0.038965497
477,0.008147626
478,0.0065873624
479,-0.009814696
480,-0.015762733
481,-0.0072341394
482,-0.07168247
483,6.301068e-05
484,-0.05933526
485,0.030604716
486,0.25289047
487,0.013518068
488,-0.09460563
489,0.041833267
490,-0.15210108
491,-0.080651626
492,-0.0041022156
493,0.7032492
494,-0.0026827923
495,-0.888838
496,0.03895971
497,-0.9998544
498,-0.00810228
499,0.0060338834
500,-0.96381736
501,-0.0031751292
502,-0.009283184
503,-0.64214796
504,0.029761223
505,0.027126018
506,0.041565754
507,0.08419715
508,-0.07195981
509,0.011560577
510,-0.035771627
511,-0.17128474
512,-0.003500664
